what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1378266575222
opened,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1378266576150
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1378266576367
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1378266576890
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1378266577029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378266583771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1378266587864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266602800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266620646
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1378266621726
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1378266621929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266631176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266635332
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1378266637039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378266637093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266651888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266652039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266660096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266677036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1378266682839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1378266687481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266704288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266722763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266733416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266739649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266749335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266750995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266754719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266762051
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1378266766937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266779063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266780871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266786631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266791373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266793863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266799916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266817080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266821563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378266823403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266824415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266827468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266833463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266837869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266869747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266872143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1378266872691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266877861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266891271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266893071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378266893248
