what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1378264974668
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1378264974668
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1378264974669
java.specification.name,sysinfo,,,"Java Platform API Specification",1378264974669
java.specification.vendor,sysinfo,,,"Oracle Corporation",1378264974669
java.specification.version,sysinfo,,,"1.7",1378264974669
java.vendor,sysinfo,,,"Oracle Corporation",1378264974669
java.version,sysinfo,,,"1.7.0_25",1378264974669
java.vm.info,sysinfo,,,"mixed mode",1378264974669
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1378264974669
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1378264974669
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1378264974669
java.vm.specification.version,sysinfo,,,"1.7",1378264974669
java.vm.vendor,sysinfo,,,"Oracle Corporation",1378264974669
java.vm.version,sysinfo,,,"23.25-b01",1378264974669
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1378264974684
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1378264974791
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1378264977113
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1378264977242
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1378264977317
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1378264978846
error,log,,,"The project description file (.project) for 'BubbleDrop' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1378264984132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378264984263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378264990413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378264994153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378265018836
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1378265019309
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1378265019864
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1378265020127
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1378265020137
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1378265021271
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1378265021443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378265028962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378265031210
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1378265031593
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1378265032089
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.0.1.v201305230001--685705,"overlay.com.android.ide.eclipse.adt.overlay",1378265032484
stopped,bundle,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.adt",1378265032486
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1378265032489
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1378265032491
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1378265032492
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1378265032494
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1378265032494
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1378265032499
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1378265032501
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1378265032503
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1378265032505
